username,location,languages,completed_amount,title,level,rating_score,reviews,collect_count,tags,five_star,four_star,three_star,two_star,one_star,pro,description,about,extra
Edwin,India,I speak English,451 orders completed,Doing What you love is happiness but loving what you do is freedom,Level 1,5,318 reviews for this Gig5,256,||AutoHotkey,(316),(1),(0),(1),(0),N/A,"Doing What you love is happiness but loving what you do is freedomI am an Autohotkey Programmer can automate and simplify any task that can perform on a windows computer 

An independent full-time freelancer who does not need extensive training. 
Excellent in Availability/Communication, Quick Turn-Around.

If given the job, I will be an excellent ambassador for your brand and exceed your expectations at lowest cost.Read More",N/A,N/A
Ali Abbas,Pakistan,"I speak English, Urdu",27 orders completed,Programming and Graphic Designing,Highly Responsive,5,22 reviews for this Gig5,2,||Graphic design||Logo design||Adobe Illustrator||Animation||Motion graphics||Adobe Photoshop||Inkscape||CorelDraw||GitHub||Programming||+2,(22),(0),(0),(0),(0),N/A,"Programming and Graphic DesigningI'm Ali, a multi-talented artist proficient in graphic design, captivating motion graphics, and programming. I have honed my skills to deliver exceptional work that never fails to impress my clients.
I'm available 24/7 and I'm dedicated to meeting your needs and exceeding your expectations. Don't hesitate to reach out to me for all your graphic design, motion graphics, video editing, and programming requirements, I've got you covered.
Don't wait any longer. Contact me now, and let's make magic happen!Read More",N/A,N/A
Charan S,Canada,I speak English,"1,400 orders completed",Vetted Microsoft 365 Consultant with 19 Years of Experience,Top Rated,5,544 reviews for this Gig5,685,||Dynamics CRM||Microsoft Office 365||PowerShell||Microsoft Azure||RPA||Microsoft SharePoint||Power Apps||Dynamics 365||Microsoft Teams||+7,(540),(3),(0),(1),(0),N/A,"Vetted Microsoft 365 Consultant with 19 Years of ExperienceI'm a Microsoft 365 practice lead specializing in SharePoint, Dynamics 365 and Power Platform, a Microsoft Certified Technology Specialist with 18 years of rich industry experience.

I deliver high quality work and respect budget and deadlines. I don't rush the process, if you're contacting me, it's important and needs attention that it deserves.

Everyone likes getting business, what matters is how ethically and professionally it's executed.Read More","Clients I’ve worked withShow all (3)PhilipsElectronics ManufacturingWorked with the learning and development team to setup, extend their SharePoint Intranet and provided training to their team for content creation. Jul 2020-Sep 2020UnileverConsumer GoodsWorked on multiple projects leveraging SharePoint, Power Platform and RPA to improve business process efficiencies.Nov 2021-Jul 2022",||Programming language:Other||Expertise:Security•Design•Other
Muhammad Adnan,Pakistan,"I speak Urdu, Punjabi, English",717 orders completed,"Frontend React, JavaScript Developer",Buyers keep returning,4.9,388 reviews for this Gig4.9,727,||Website design||PowerPoint presentation||HTML5||CSS3||Front-end web development||Bootstrap 5||Twitter Bootstrap||Tailwind CSS||Figma||Install WordPress||+20,(365),(15),(6),(1),(1),N/A,"Frontend React, JavaScript DeveloperHey! My name is Muhammad Adnan, I've been a frontend and JavaScript developer since 2013 with a love for creating amazing website layouts for businesses.

I am creative, attentive to details and can add tremendous value to make your project even better.

I am excited to bring over 8 years of experience to you, with great web development and communication skills.Read More",N/A,||Programming language:HTML & CSS||Expertise:Algorithms & Data structures•Debugging•Performance+2 more||Frontend framework:React.js•Vue.js•jQuery•Bootstrap•Tailwind CSS
Buydevs,Bangladesh,"I speak Bengali, English, Spanish, Arabic","1,000 orders completed",Expert in psd to html responsive css bootstrap and wordpress,Top Rated,5,736 reviews for this Gig5,476,||HTML5||CSS3||Bootstrap||JavaScript||jQuery||Responsive design||XD to HTML||WordPress||Website design||Bootstrap 5||+1,(713),(18),(3),(2),(0),N/A,"Expert in psd to html responsive css bootstrap and wordpressGreetings!

We are a team of experienced front-end developers with a proven track record of delivering exceptional results. Having worked on over 1500+ projects across multiple platforms, We specialize in converting PSD to HTML, XD to HTML, Sketch to HTML, Figma to HTML CSS/SCSS using Bootstrap 5 with responsive design. Our hand-typed codes are SEO-friendly, well-structured and W3C validated.

We strive to provide the best possible service and ensure complete client satisfaction.

Let's bring your vision to life! Feel free to contact us to discuss your project requirements in detail. Cheers!Read More","Clients I’ve worked withTrienpont InternationalSoftware DevelopmentWe worked on multiple projects with this company. We build websites from xd using HTML, CSS, SASS, BOOTSTRAP, JQUERY. Nov 2021-Nov 2021RipeDigital MarketingIt was an amazing experience working with this company. We build websites from PSD using HTML, CSS, BOOTSTRAP, and JQUERY. We worked on multiple projects with this company. May 2022-May 2022",||Programming language:HTML & CSS||Expertise:Algorithms & Data structures•Debugging•Performance+2 more||Frontend framework:jQuery•Bootstrap
Macs,Italy,"I speak English, Italian, German, Japanese",234 orders completed,Expert in Java and Minecraft Plugins,N/A,4.9,161 reviews for this Gig4.9,140,||Italian||Customer service||Java||Minecraft||Software development||Programming & tech projects management||Java 8||IntelliJ||Code review||+3,(154),(6),(1),(0),(0),N/A,"Expert in Java and Minecraft PluginsItalian programmer, expert in Minecraft & Spigot API. Worked on more than 250 plugins since 2020 and opened my own public server with 150 concurrent players.
Now working as a full time developer on FiverrRead More",N/A,||Platform:Other||Expertise:Performance•Security•Databases•Source control+1 more||Programming language:Java
Macs,Italy,"I speak English, Italian, German, Japanese",234 orders completed,Expert in Java and Minecraft Plugins,N/A,4.9,161 reviews for this Gig4.9,140,||Italian||Customer service||Java||Minecraft||Software development||Programming & tech projects management||Java 8||IntelliJ||Code review||+3,(154),(6),(1),(0),(0),N/A,"Expert in Java and Minecraft PluginsItalian programmer, expert in Minecraft & Spigot API. Worked on more than 250 plugins since 2020 and opened my own public server with 150 concurrent players.
Now working as a full time developer on FiverrRead More",N/A,||Platform:Other||Expertise:Performance•Security•Databases•Source control+1 more||Programming language:Java
Mark S.,United States,"I speak English, French","1,000 orders completed",Microsoft Excel VBA macro and automation expert,Top Rated,5,55 reviews for this Gig5,23,||Data entry||Microsoft Excel||Microsoft Office||Microsoft Powerpoint||Excel VBA||VBA||Excel macros||Content writing||Microsoft Word||Excel automation||+1,(54),(1),(0),(0),(0),N/A,"Microsoft Excel VBA macro and automation expertWelcome to my Fiverr profile! 

I am an Excel expert with a deep understanding of the software and its capabilities. With years of experience in developing macros, formulas, and pivot tables, I have the knowledge and expertise to help you take your business to the next level and streamline your manual tasks. 

I have completed more than 1000 successful freelancing jobs and would love counting you as my next client.

Enough talking, let’s get started!
Read More",N/A,||Programming language:VB
Helio Freitas,Brazil,"I speak English, Portuguese",305 orders completed," Zapier, Integromat, Make and Pipedream expert",Level 2,5,220 reviews for this Gig5,370,||Integromat||Zapier||API integration||System integration||ClickUp||Airtable||Google Drive||Google Sheets||Jotform||Rest API||+12,(220),(0),(0),(0),(0),N/A," Zapier, Integromat, Make and Pipedream expertHi, My name is Helio! I'm an low code Zapier and Make software developer with excellent communication skills! I'm very attentive to details and believe in 100% customer satisfaction! My specialties is software automation. Let me help you and give me a chance to show my work!Read More",N/A,||Programming language:Other
Dani Lopez A.,Spain,"I speak English, Spanish","2,100 orders completed",N/A,Level 2,5,"1,054 reviews for this Gig5","1,891",||WordPress||HTML5||CSS3||English lessons||Adobe Photoshop||Graphic design||Adobe Illustrator,"(1,023)",(25),(6),(0),(0),N/A,"I am Daniel López, an Industrial Engineer with vast experience in Web Development (HTML, CSS, JavaScript and WordPress), pasionate about Graphic Design (Photoshop, Illustrator, Xd), and also have experience in SEM Optimizationand Data Entry & Analysis. I have a masters degree in Organization, Production Engineering and Industrial Plants Direction, and studies in Advanced Excel.
I'm from Perú but based in Spain.
Read More",Clients I’ve worked withShow all (3)SAPInternet Software & ServicesCreated an Email Marketing CampaignAug 2019-Sep 2019FiverrInternet Software & ServicesCreated several transaccional emails for Fiverr and Fiverr Pro users.Jul 2019-Jun 2020,||Programming language:HTML & CSS||Expertise:Debugging•Design
Luiz Nicolau,Brazil,"I speak English, Portuguese",263 orders completed,N/A,Level 2,5,179 reviews for this Gig5,274,N/A,(177),(1),(1),(0),(0),N/A,"Creation of TV and Radio channels for the Roku platform and Amazon Fire TV.
Streaming, webTV, have your channel or radio broadcast 24 hours live or on demand.",N/A,||Programming language:Java
mohitadacomply,India,I speak English,137 orders completed,Helps brands to make their websites ADA Compliance,Level 2,5,88 reviews for this Gig5,191,||Web development||HTML5||WordPress||JavaScript,(88),(0),(0),(0),(0),N/A,"Helps brands to make their websites ADA ComplianceHi, I'm Mohit Thareja, a professional web developer with 7+ years of experience. Worried about legal issues due to a non-ADA compliant website? I offer ADA compliance services to make your site accessible and avoid lawsuits.

As a developer, I understand the importance of creating accessible websites for all, including those with disabilities. ADA compliance ensures legal requirements are met and reaches a wider audience.

If you want a worry-free, accessible website, let me help. With my expertise, I'll make your site ADA compliant and accessible to all. Let's work together.Read More",N/A,||Programming language:PHP||Expertise:Performance•Security•Operating systems
